"vtkOriginalPointIds","Points:0","Points:1","Points:2"
56,0.026887,-0.065521,-0.025507
57,0.012285,-0.064545,-0.025387
78,-0.01967,-0.072157,-0.012058
81,-0.037788,-0.07178,-0.011484
82,-0.0037271,-0.071637,-0.012407
83,0.0086029,-0.071432,-0.014592
85,-0.0047112,-0.071133,-0.018468
86,-0.0095672,-0.072138,-0.015371
95,0.056022,-0.069008,-0.016775
96,0.066437,-0.068842,-0.018332
98,0.052343,-0.068782,-0.021135
124,-0.034336,-0.069936,-0.020041
125,-0.021648,-0.070345,-0.020913
126,-0.038584,-0.072492,-0.015816
127,-0.04024,-0.068644,-0.019933
133,0.0179,-0.070818,-0.014056
135,0.015251,-0.070471,-0.018996
141,-0.045153,-0.072387,-0.014614
142,0.04599,-0.069388,-0.019856
143,0.039776,-0.070058,-0.014695
144,0.036969,-0.070204,-0.01842
145,0.042659,-0.067103,-0.023522
153,-0.023833,-0.072316,-0.016579
154,-0.011608,-0.067391,-0.02302
158,0.0015737,-0.06564,-0.025035
159,3.2503e-05,-0.068845,-0.022776
183,0.049131,-0.062726,-0.025298
185,0.06381,-0.065476,-0.021341
187,0.028135,-0.0689,-0.021887
188,0.02745,-0.070619,-0.016472
209,-0.050354,-0.071136,-0.016768
212,0.079059,-0.067274,-0.019832
213,0.076167,-0.065498,-0.022536
221,0.038171,-0.063264,-0.025674
232,0.015725,-0.068034,-0.023301
