# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.01	0.355347 0.249981 0.30738 0.142527 0.698948 -0.425645 -0.556762	
0.02	0.352871 0.249131 0.306672 0.143788 0.700887 -0.426707 -0.553175	
0.03	0.34959 0.247525 0.306519 0.149231 0.702772 -0.427424 -0.548772	
0.04	0.346385 0.245681 0.306744 0.155705 0.705087 -0.427098 -0.544238	
0.05	0.343053 0.243804 0.306718 0.161895 0.708457 -0.426029 -0.538867	
0.06	0.339403 0.241894 0.306554 0.168057 0.712097 -0.424142 -0.533645	
0.07	0.335836 0.240134 0.306044 0.175989 0.714966 -0.421918 -0.528995	
0.08	0.332625 0.238442 0.305278 0.183713 0.716409 -0.420644 -0.52542	
0.09	0.329438 0.236181 0.304818 0.189842 0.716059 -0.421489 -0.523036	
0.1	0.326549 0.232824 0.30469 0.196372 0.71541 -0.422549 -0.520653	
0.11	0.324227 0.228595 0.304748 0.201785 0.71313 -0.426571 -0.518427	
0.12	0.322192 0.223063 0.304424 0.203187 0.711308 -0.432768 -0.515235	
0.13	0.32048 0.216592 0.303634 0.199017 0.707273 -0.444182 -0.512698	
0.14	0.318824 0.209693 0.302432 0.204962 0.711017 -0.439784 -0.508955	
0.15	0.31737 0.203235 0.301166 0.214366 0.716702 -0.429617 -0.505781	
0.16	0.315837 0.195697 0.299786 0.223751 0.722359 -0.418303 -0.503145	
0.17	0.314348 0.187042 0.298817 0.229917 0.726103 -0.411478 -0.500598	
0.18	0.313067 0.175854 0.298063 0.236224 0.727999 -0.408218 -0.497568	
0.19	0.311936 0.162849 0.297488 0.24329 0.729438 -0.404395 -0.495171	
0.2	0.310669 0.149528 0.296846 0.250996 0.730018 -0.400587 -0.493563	
0.21	0.308759 0.13487 0.296035 0.262498 0.730063 -0.393382 -0.493308	
0.22	0.306197 0.120334 0.295145 0.275372 0.730226 -0.381939 -0.495039	
0.23	0.303089 0.106091 0.29412 0.286282 0.726124 -0.376146 -0.4993	
0.24	0.299544 0.0933918 0.29316 0.296413 0.720677 -0.372936 -0.503669	
0.25	0.295156 0.0811918 0.292313 0.305753 0.71349 -0.372357 -0.508721	
