275.377533,356.160034,1.000000;341.573547,350.614746,1.000000;444.518494,351.905914,1.000000;538.613708,367.047516,1.000000;654.640564,356.237030,1.000000;724.129822,351.938812,1.000000;838.187866,355.865570,1.000000;891.141602,366.257568,1.000000;273.530579,442.602844,1.000000;341.227905,450.691315,1.000000;445.059875,445.111908,1.000000;559.271790,444.116058,1.000000;630.992859,440.457367,1.000000;744.974182,440.642670,1.000000;842.550903,453.201172,1.000000;895.877747,412.003998,1.000000;276.481445,501.913452,1.000000;338.611298,502.784515,1.000000;444.070007,540.858521,1.000000;547.893188,538.398010,1.000000;639.397949,553.045898,1.000000;730.967041,544.909851,1.000000;823.170471,493.375916,1.000000;899.805603,513.448792,1.000000|549.174561,306.466492,1.000000;623.274780,305.006012,1.000000;538.813416,340.559265,1.000000;622.952026,352.082306,1.000000
275.378723,356.157104,0.554719;341.572815,350.614410,0.516949;444.516602,351.904083,0.546144;538.619080,367.048737,0.451073;654.645508,356.227203,0.584411;724.130127,351.939026,0.552780;838.186768,355.865173,0.368792;891.142334,366.258484,0.263028;273.530762,442.602386,0.406691;341.227997,450.690918,0.528959;445.059753,445.111176,0.354543;559.279663,444.096008,0.625248;630.995911,440.448334,0.550389;744.975281,440.642944,0.524826;842.550842,453.197449,0.489988;895.879150,412.004089,0.482487;276.482605,501.914307,0.245971;338.613068,502.783813,0.407415;444.070099,540.857849,0.450047;547.893188,538.398499,0.402766;639.396912,553.046753,0.321939;730.967224,544.909668,0.443407;823.170593,493.374725,0.419474;899.806519,513.448242,0.334719|549.174011,306.466156,0.391260;623.332336,304.967651,0.762543;538.812622,340.560547,0.340518;622.957703,352.053314,0.550902
275.379791,356.157166,0.378797;341.572113,350.615540,0.439514;444.517365,351.905090,0.254129;538.624451,367.046143,0.268422;654.642639,356.228851,0.254830;724.130920,351.938782,0.275014;838.187195,355.865356,0.295984;891.141479,366.256195,0.224145;273.530701,442.602631,0.349257;341.226654,450.691284,0.307025;445.059265,445.110199,0.286016;559.291565,444.076172,0.518078;630.994934,440.452209,0.289724;744.975159,440.640930,0.431725;842.550720,453.195587,0.287754;895.879517,411.968811,0.364327;276.482910,501.913361,0.081287;338.612244,502.782623,0.284967;444.069458,540.857483,0.287742;547.893860,538.397156,0.245294;639.395813,553.044556,0.286821;730.966736,544.908813,0.349461;823.170166,493.374359,0.353209;899.806335,513.450623,0.230296|549.176331,306.464630,0.250076;623.310730,304.983521,0.503632;538.814270,340.558960,0.174256;622.957214,352.052551,0.196939
275.383942,356.154755,0.292059;341.572235,350.615112,0.159302;444.517365,351.905090,0.000000;538.623779,367.045013,0.040958;654.644958,356.223206,0.106477;724.130920,351.938782,0.000000;838.186768,355.865356,0.150187;891.141785,366.258087,0.048831;273.530273,442.602386,0.196887;341.227356,450.691010,0.053906;445.059265,445.110199,0.000000;559.291565,444.076172,0.000000;630.994934,440.452209,0.000000;744.974304,440.639557,0.160175;842.550720,453.195587,0.000000;895.879395,411.968018,0.074975;276.485413,501.909515,0.327350;338.611877,502.781952,0.046120;444.069458,540.857483,0.000000;547.893799,538.397461,0.019968;639.395813,553.044556,0.000000;730.966736,544.908813,0.000064;823.170166,493.374359,0.000000;899.806335,513.450623,0.000617|549.175598,306.465454,0.043501;623.310730,304.983521,0.000000;538.813599,340.559082,0.096541;622.959778,352.038239,0.223300
275.385193,356.154144,0.067462;341.572906,350.614777,0.265211;444.516602,351.904083,0.254129;538.628784,367.043976,0.071751;654.647217,356.217133,0.079489;724.130920,351.938782,0.000000;838.186768,355.865356,0.000000;891.141724,366.258301,0.009716;273.530914,442.602112,0.202430;341.227173,450.691498,0.281506;445.059479,445.111908,0.174684;559.301270,444.056763,0.294943;630.995728,440.450867,0.036388;744.975464,440.638367,0.077042;842.552246,453.199493,0.069260;895.879150,411.986267,0.133158;276.487854,501.909851,0.173699;338.613068,502.782959,0.252811;444.069794,540.858459,0.101107;547.900146,538.383728,0.430616;639.396240,553.045227,0.093550;730.966309,544.908875,0.115709;823.171631,493.375977,0.154708;899.806213,513.450989,0.045347|549.175598,306.465454,0.000000;623.332458,304.972717,0.160932;538.813599,340.559082,0.000457;622.963013,352.018707,0.188017
275.389282,356.153534,0.376246;341.572815,350.614410,0.038879;444.516602,351.904083,0.000000;538.632935,367.043274,0.280265;654.651428,356.210327,0.309837;724.130554,351.939545,0.287205;838.184814,355.866180,0.324214;891.141479,366.258423,0.264794;273.530487,442.602295,0.147640;341.227997,450.690887,0.040413;445.059265,445.111481,0.204741;559.311462,444.037201,0.476868;630.996216,440.447601,0.252018;744.974976,440.636444,0.283216;842.551147,453.197571,0.240012;895.878418,412.004486,0.307166;276.490662,501.906799,0.289140;338.613129,502.782227,0.100791;444.070099,540.857910,0.214909;547.905945,538.371582,0.501594;639.396912,553.046387,0.212330;730.967102,544.909729,0.255054;823.171021,493.375153,0.249051;899.806396,513.448181,0.212803|549.173401,306.466339,0.293945;623.355957,304.966156,0.460244;538.810791,340.562042,0.269684;622.964966,352.002838,0.382669
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.634094,367.042328,0.205041;654.645874,356.200806,0.300926;724.130554,351.939545,0.003729;838.185669,355.865540,0.117591;891.141785,366.258667,0.134087;273.530243,442.602234,0.025435;341.227997,450.690887,0.000000;445.059509,445.111542,0.205586;559.307800,444.043762,0.161753;630.996399,440.448059,0.035491;744.975647,440.639038,0.116349;842.552551,453.198059,0.118280;895.878784,412.004547,0.093758;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.070038,540.858093,0.165409;547.906067,538.370483,0.132521;639.396301,553.044556,0.211281;730.966492,544.909607,0.122721;823.171082,493.375885,0.075256;899.806458,513.451050,0.169074|549.163940,306.460266,0.221021;623.324890,304.967590,0.509131;538.812927,340.559692,0.254509;622.969727,351.969360,0.533753
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.628845,367.044037,0.134367;654.645874,356.200806,0.000000;724.130554,351.939545,0.000000;838.185669,355.865540,0.000000;891.141785,366.258667,0.000000;273.530243,442.602234,0.000000;341.227997,450.690887,0.000000;445.059296,445.112061,0.041967;559.296631,444.062836,0.458662;630.995972,440.448669,0.092316;744.975647,440.639038,0.000000;842.552551,453.198059,0.000000;895.878784,412.004547,0.000000;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069519,540.858643,0.083654;547.900085,538.383484,0.426411;639.396179,553.044128,0.050858;730.966492,544.909607,0.000617;823.171082,493.375885,0.000000;899.806458,513.451050,0.000000|549.163940,306.460266,0.000000;623.324890,304.967590,0.000000;538.812927,340.559692,0.000000;622.969727,351.969360,0.000000
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.632996,367.043335,0.280493;654.643982,356.182770,0.262876;724.130554,351.939545,0.000000;838.185669,355.865540,0.000000;891.141846,366.258606,0.002667;273.530273,442.602234,0.003705;341.227997,450.690887,0.000000;445.059509,445.111816,0.050225;559.303528,444.050476,0.382245;630.996399,440.448090,0.092316;744.975342,440.639465,0.012303;842.552185,453.198730,0.013528;895.878845,412.004395,0.002431;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069946,540.858032,0.090510;547.906372,538.370850,0.417303;639.396362,553.045105,0.052248;730.966553,544.909058,0.013749;823.170776,493.375977,0.168024;899.806519,513.451660,0.008951|549.152283,306.457977,0.183363;623.345581,304.957153,0.529087;538.810791,340.562073,0.254694;622.977112,351.913849,0.400663
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.632996,367.043335,0.000000;654.640015,356.168823,0.219907;724.130554,351.939545,0.000384;838.186646,355.864838,0.098980;891.141968,366.258148,0.051459;273.530121,442.602173,0.014137;341.227997,450.690887,0.000000;445.059631,445.111969,0.017990;559.299377,444.057251,0.114575;630.996582,440.448456,0.013653;744.975342,440.639893,0.025327;842.552185,453.198853,0.010889;895.878784,412.004333,0.011170;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069641,540.858398,0.024129;547.906372,538.370544,0.016861;639.396545,553.044067,0.022131;730.966553,544.909058,0.000601;823.170837,493.375885,0.024874;899.806274,513.450500,0.025831|549.141846,306.453613,0.111171;623.334167,304.951294,0.136366;538.810791,340.562073,0.000000;622.982422,351.873291,0.253188
