266.906860,349.636749,0.000000;329.564240,349.151215,0.305712;441.649323,349.512634,0.521802;506.880066,337.008698,0.678769;656.936523,326.834137,0.573021;725.265320,378.390808,0.566961;811.211487,356.254395,0.810534;253.166946,459.485962,0.131300;324.506622,429.299225,0.364195;437.044250,449.682953,0.747597;505.392426,449.856384,0.490673;644.448059,440.022705,0.154868;715.728882,442.858215,0.241594;806.703918,414.075745,0.660611;241.191986,499.424988,0.138504;350.107635,511.905334,0.121348;461.448456,552.380005,0.308183;540.492920,527.491089,0.595969;689.747375,527.685303,0.349088;727.544006,517.130371,0.509880;440.889465,594.413574,0.166014|547.039307,285.758575,0.291539;605.880066,347.843445,0.118448;524.649292,344.956360,0.414027
266.906860,349.636749,0.000000;329.564240,349.151215,0.000000;441.795624,349.520111,0.774462;506.996490,336.979492,1.275643;657.019836,326.837524,0.684508;725.285217,378.401337,0.412974;811.260010,356.250885,0.782804;253.189392,459.473938,0.682830;324.619049,429.299286,0.478894;437.139771,449.677704,1.255827;505.464600,449.855408,0.716471;644.448792,440.022064,0.103350;715.728760,442.859100,0.124960;806.771362,414.081207,0.671272;241.225891,499.401947,0.682218;350.205688,511.915192,0.583618;461.459198,552.362305,0.188990;540.514648,527.480530,0.702642;689.752686,527.697144,0.313281;727.557739,517.149902,0.311775;440.898621,594.404358,0.152838|547.051697,285.764343,0.291799;605.977783,347.852478,0.358500;524.727539,344.869232,0.872982
266.906860,349.636749,0.000000;329.591980,349.147308,0.299092;441.749939,349.522156,0.282179;506.990540,337.012329,0.726299;657.090271,326.850067,0.607250;725.326599,378.413574,0.478754;811.296936,356.283478,0.623650;253.166794,459.486145,0.706559;324.528381,429.299805,0.461998;437.081940,449.698059,1.087875;505.422760,449.853333,0.743572;644.448914,440.023041,0.154071;715.734314,442.857941,0.290181;806.811401,414.117706,0.953664;241.191498,499.424988,0.741594;350.106598,511.904480,0.556785;461.460846,552.388428,0.375112;540.508484,527.497559,1.138701;689.752869,527.721069,0.334975;727.569153,517.170837,0.337835;440.894257,594.416016,0.247709|547.088623,285.768188,0.482751;606.038147,347.844330,0.215258;524.729492,344.955963,0.679751
266.906799,349.636749,0.016712;329.564362,349.150970,0.330306;441.719604,349.519135,0.341688;506.945831,337.019165,0.694825;657.087585,326.852997,0.168080;725.326477,378.413849,0.017517;811.295105,356.281799,0.088816;253.166656,459.486145,0.081267;324.498596,429.297424,0.589605;437.011017,449.675873,1.306829;505.363037,449.858185,1.163323;644.448242,440.022247,0.041290;715.730347,442.859192,0.124491;806.767944,414.149750,0.524225;241.191483,499.425018,0.105845;350.106598,511.904480,0.000000;461.460358,552.389465,0.038327;540.473572,527.493774,1.693864;689.757874,527.759033,1.225446;727.565369,517.214478,0.434629;440.893829,594.416443,0.030890|547.110901,285.771149,0.307466;606.038147,347.844330,0.000000;524.682983,344.962097,0.506324
266.906860,349.636749,0.016772;329.537048,349.153961,0.324443;441.641937,349.522369,0.344791;506.870789,337.023712,0.757433;656.980652,326.872833,0.982575;725.245483,378.409546,1.191549;811.226990,356.364655,1.165790;253.166824,459.486389,0.065404;324.512695,429.294403,0.959046;437.016113,449.683105,1.395541;505.363495,449.857574,0.972523;644.449158,440.020569,1.240192;715.721863,442.851318,1.166759;806.724426,414.186401,1.458269;241.191315,499.424683,0.049604;350.106476,511.903809,0.109373;461.476868,552.414062,1.222202;540.473572,527.493774,0.000000;689.759338,527.778564,0.433984;727.559509,517.260254,0.516780;440.904388,594.421326,0.268006|547.133850,285.773254,0.307310;605.892822,347.848511,0.297494;524.626953,344.956787,0.517061
267.064148,349.635071,0.902377;329.694611,349.152863,0.555796;441.758270,349.521942,0.298431;506.983002,337.014404,0.823193;657.111755,326.916290,1.419026;725.365479,378.517639,1.359377;811.333740,356.380280,1.337198;253.181656,459.493286,0.389650;324.562775,429.284149,0.932894;437.093781,449.704437,1.576942;505.452942,449.876984,1.068471;644.493286,440.142914,1.410543;715.790588,442.983337,1.542416;806.837463,414.235016,1.762275;241.191711,499.424255,0.059048;350.105896,511.903595,0.088363;461.459778,552.418152,0.695978;540.488647,527.497681,0.669098;689.766357,527.770264,1.144560;727.593018,517.246704,0.734033;440.906921,594.461670,0.714785|547.181946,285.771210,0.374383;606.038208,347.844391,0.297370;524.740479,344.956329,0.411148
267.038757,349.643921,0.741534;329.668671,349.146301,0.273116;441.813660,349.521698,0.233993;507.059601,337.032318,0.677884;657.194458,326.957733,0.944124;725.418945,378.526825,0.552280;811.416016,356.420319,0.720696;253.197662,459.500366,0.395449;324.574799,429.280914,0.249708;437.097137,449.708130,0.213019;505.443420,449.872681,1.073914;644.546082,440.148895,0.634820;715.807800,442.997925,0.663122;806.919434,414.266022,0.819809;241.191589,499.424622,0.022840;350.105896,511.903595,0.000000;461.454987,552.392090,0.817766;540.523560,527.507690,1.623566;689.775146,527.847168,0.700908;727.576721,517.283081,0.345660;440.923340,594.466064,0.506700|547.244751,285.772278,0.467512;606.100342,347.976105,0.404436;524.798584,344.990173,0.573822
267.038757,349.643921,0.000000;329.668671,349.146301,0.000000;441.758484,349.521973,0.233464;507.004486,337.040802,0.604067;657.123230,327.050446,0.934276;725.397705,378.618927,0.580141;811.377991,356.469513,0.572688;253.197693,459.500305,0.010293;324.575195,429.281067,0.022704;437.089325,449.720764,0.364884;505.471771,449.944672,1.282023;644.536987,440.250946,0.680548;715.848999,443.104858,0.650515;806.856567,414.338806,0.677968;241.191391,499.424561,0.027606;350.105865,511.903442,0.008610;461.444092,552.410767,0.850338;540.476074,527.652100,1.305884;689.773254,527.974609,0.756400;727.596436,517.317017,0.606590;440.896881,594.463623,0.551310|547.227478,285.771149,0.233200;606.034668,348.114075,0.383779;524.747681,345.023682,0.460768
266.970703,349.642151,0.381636;329.606720,349.149506,0.349809;441.703522,349.522217,0.376602;506.933716,337.039154,0.848059;657.043945,327.035919,0.711457;725.310364,378.632843,1.060530;811.310547,356.454315,0.473007;253.172287,459.490845,0.699591;324.509644,429.299103,0.856321;436.995178,449.721832,1.348700;505.400635,449.967743,0.680940;644.453857,440.263947,1.129557;715.749023,443.093170,1.194208;806.790039,414.286285,0.731910;241.191437,499.424164,0.040529;350.105743,511.903381,0.031322;461.422028,552.407288,0.280329;540.460266,527.624451,0.561222;689.752563,527.960938,0.814186;727.555969,517.320435,0.495615;440.806732,594.479675,0.593057|547.080688,286.028229,1.691349;605.992004,347.982574,0.680660;524.690613,344.997925,0.517281
266.904602,349.640442,0.510529;329.548279,349.150299,0.349733;441.648773,349.522400,0.325352;506.870636,337.025848,0.753857;656.981079,326.963623,1.077494;725.248718,378.606506,1.215774;811.238342,356.438721,0.624888;253.172272,459.490784,0.018807;324.509644,429.299103,0.000000;436.983612,449.727203,0.396650;505.361542,449.985809,0.947088;644.450562,440.263885,0.992307;715.725281,443.106384,0.872297;806.717712,414.233917,0.980969;241.191544,499.424652,0.023072;350.105743,511.903351,0.028010;461.400513,552.401978,0.351968;540.445923,527.596191,1.045844;689.751526,527.961670,0.984045;727.514160,517.324463,0.492879;440.719971,594.498596,0.573618|547.083435,285.768799,1.184372;605.942566,347.858063,0.590786;524.631104,344.971344,0.494774
266.904602,349.640442,0.000000;329.548279,349.150299,0.000000;441.648773,349.522400,0.000000;506.856720,337.027313,0.233956;656.924255,326.991943,1.190476;725.224487,378.605011,0.473796;811.238342,356.438721,0.000817;253.064087,459.496155,1.044258;324.478180,429.293793,0.416190;436.943573,449.725708,0.840670;505.359558,449.999603,0.468490;644.381042,440.257599,0.369377;715.675415,443.111877,0.826012;806.676575,414.283386,0.974133;241.066895,499.418823,0.967432;349.970917,511.903564,0.387808;461.321899,552.398926,0.518975;540.385010,527.648315,1.419474;689.702026,527.950684,1.196711;727.456787,517.323242,0.473075;440.704010,594.461121,0.599609|547.031494,285.827026,0.476760;605.942566,347.858063,0.000052;524.630371,344.971497,0.020112
266.844666,349.641571,0.601195;329.486145,349.153076,0.323385;441.596558,349.522186,0.318872;506.807678,337.044769,0.748198;656.928894,327.000305,0.644752;725.201660,378.576599,0.489287;811.192505,356.444580,0.592725;253.056259,459.492645,0.267902;324.425201,429.298798,0.714877;436.878906,449.711853,1.096189;505.295776,449.981018,0.545363;644.381042,440.257599,0.000000;715.675415,443.111877,0.000000;806.675354,414.284210,0.031795;241.066895,499.418823,0.000000;349.970917,511.903564,0.000000;461.320221,552.404968,0.130531;540.358765,527.623291,0.791811;689.702026,527.950684,0.000000;727.456787,517.323242,0.000000;440.700714,594.481812,0.286508|547.031494,285.827026,0.000000;605.841003,347.924744,0.532952;524.585693,345.026245,0.538783
266.786621,349.641937,0.518611;329.426941,349.154205,0.278210;441.545715,349.521637,0.354155;506.747070,337.065308,0.748098;656.868774,327.016785,0.806677;725.157654,378.546570,0.567891;811.144287,356.450104,0.689366;252.936432,459.492798,0.804859;324.333130,429.298767,0.394396;436.784607,449.701996,0.817370;505.222778,449.971161,0.688525;644.309143,440.249695,0.484705;715.619568,443.108307,0.417848;806.633911,414.338562,0.598348;240.933456,499.414825,0.751810;349.847900,511.898590,0.556128;461.235901,552.405457,0.792564;540.260376,527.653259,0.883114;689.658386,527.945190,0.499191;727.396301,517.325562,0.597483;440.681946,594.461548,0.523485|546.979553,285.891876,0.514165;605.759644,347.993652,0.664856;524.534912,345.081024,0.565131
266.786621,349.641937,0.000000;329.448975,349.151611,0.253644;441.545807,349.521545,0.020845;506.760468,337.046600,0.386478;656.869019,326.985748,0.482347;725.148682,378.511658,0.353470;811.135620,356.437988,0.337711;252.915604,459.481964,0.575464;324.333130,429.298615,0.003805;436.794678,449.692017,0.297310;505.237854,449.959564,0.362325;644.295288,440.248535,0.124956;715.619690,443.108093,0.032451;806.633911,414.338562,0.000000;240.934113,499.410553,0.082536;349.848389,511.896698,0.098247;461.229309,552.399292,0.261334;540.263672,527.587158,0.752707;689.622314,527.942139,0.477392;727.394714,517.329956,0.069577;440.679016,594.461243,0.071431|546.987610,285.830536,0.409061;605.765625,347.929596,0.258851;524.536865,345.036499,0.283164
266.786621,349.641937,0.000000;329.472168,349.147400,0.256712;441.545105,349.521881,0.093934;506.772949,337.029541,0.445330;656.877563,326.957733,0.597543;725.140808,378.474670,0.393919;811.125305,356.427002,0.473932;252.941513,459.495331,0.707400;324.365387,429.293060,0.504658;436.840607,449.685791,0.634255;505.267273,449.947021,0.493336;644.282410,440.248352,0.314627;715.619263,443.108643,0.123494;806.633911,414.338562,0.000000;240.934341,499.408539,0.086802;349.849762,511.894379,0.260333;461.223206,552.391968,0.274958;540.267334,527.524048,1.220176;689.591003,527.944580,0.598328;727.392822,517.335632,0.227124;440.675415,594.463989,0.259644|546.998169,285.777100,0.332036;605.771423,347.870941,0.305836;524.537415,344.991608,0.309785
266.731476,349.642609,0.374732;329.407684,349.150330,0.326769;441.518585,349.521973,0.280141;506.744415,337.046112,0.522007;656.879150,327.009521,0.852969;725.143005,378.553406,0.635777;811.065979,356.431030,1.019187;252.925339,459.487152,0.482014;324.330048,429.297791,0.368196;436.791290,449.695801,0.573409;505.231964,449.964874,0.593273;644.257751,440.256531,0.524666;715.568420,443.113159,0.449471;806.608459,414.312012,0.498010;240.933701,499.412628,0.100686;349.848877,511.898285,0.290225;461.211884,552.394348,0.368372;540.241089,527.624023,1.709375;689.569275,527.945129,0.635989;727.351318,517.336426,0.623574;440.644714,594.464478,0.359217|546.987549,285.831268,0.333173;605.759521,347.994812,0.490901;524.517700,345.018768,0.361860
266.731476,349.642609,0.000000;329.407684,349.150330,0.000000;441.518585,349.521973,0.000000;506.744415,337.046112,0.000000;656.874329,327.026093,0.499375;725.085754,378.613434,0.982046;811.084106,356.453125,0.818527;252.915405,459.481934,0.286749;324.330048,429.297791,0.000000;436.787506,449.775726,0.563341;505.219818,450.005402,0.594843;644.231384,440.263550,0.318860;715.550232,443.104828,0.566120;806.580750,414.287018,0.503448;240.933701,499.412628,0.000000;349.853455,511.955902,0.471265;461.214142,552.495117,0.339721;540.246399,527.663452,0.987469;689.551270,527.953186,0.547774;727.352173,517.335144,0.285115;440.634033,594.492249,0.408961|546.987549,285.831268,0.000000;605.757690,348.049408,0.270148;524.517700,345.018768,0.000000
266.677673,349.642303,0.342901;329.343018,349.151245,0.372817;441.493256,349.520966,0.242283;506.713013,337.062439,0.453548;656.845032,327.008392,0.803809;724.991455,378.606842,0.624499;811.066223,356.436035,0.790429;252.910095,459.479614,0.198269;324.298431,429.303619,0.780225;436.744781,449.707489,0.886386;505.183258,449.993317,0.801879;644.231506,440.262878,0.057370;715.506287,443.106812,0.588516;806.582092,414.286041,0.334062;240.932617,499.419281,0.118180;349.848175,511.897888,0.515999;461.200592,552.393188,0.412974;540.233215,527.615601,0.752607;689.551270,527.947937,0.122345;727.308899,517.338135,0.460548;440.591003,594.483276,0.359741|546.979431,285.893311,0.411597;605.759460,347.994751,0.270124;524.492615,345.046021,0.337639
266.731873,349.642273,0.370903;329.370422,349.160400,0.652533;441.511963,349.523651,0.196175;506.720856,337.058533,0.226812;656.832275,326.999878,0.396706;724.991577,378.607208,0.028783;811.035339,356.437988,0.589160;252.910187,459.479584,0.016164;324.318848,429.299438,0.495110;436.749603,449.705261,0.159005;505.197937,449.981598,0.319669;644.231445,440.261810,0.028086;715.506409,443.106873,0.007161;806.556641,414.259827,0.240064;240.933136,499.416595,0.057113;349.848328,511.899139,0.052468;461.212280,552.393860,0.207228;540.238342,527.621277,0.646426;689.543640,527.936951,0.233764;727.308960,517.338318,0.014570;440.632568,594.474121,0.255923|546.979431,285.893311,0.000000;605.765747,347.984528,0.079300;524.489990,345.026733,0.172694
266.787231,349.641144,0.409170;329.392212,349.165802,0.672798;441.550751,349.521210,0.305259;506.747711,337.051178,0.554246;656.823730,326.992798,0.430243;724.991455,378.606842,0.028783;811.003296,356.437897,0.824346;252.910278,459.479797,0.094831;324.344604,429.298553,0.267361;436.780457,449.708282,0.618492;505.212433,449.968658,0.354263;644.231567,440.262817,0.051735;715.506104,443.106964,0.025050;806.529175,414.237793,0.852593;240.933380,499.415619,0.055043;349.848602,511.897186,0.199879;461.225494,552.391479,0.369686;540.243347,527.627136,0.490180;689.538025,527.926392,0.778378;727.308960,517.338318,0.082653;440.675415,594.463989,0.423803|546.981934,285.802368,1.079348;605.773560,347.971954,0.092581;524.508423,345.015228,0.351283
